"geo_type";"geo_area_id";"geo_area_name";"borough_id";"time_period";"BLL_greater_5";"BLL_greater_5_note";"BLL_greater_10";"BLL_greater_10_note";"BLL_greater_15";"BLL_greater_15_note";"num_tested";"rate_greater_5";"rate_greater_10";"rate_greater_15"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2012";"163";"0";"34";"0";"10";"1";"6900";"23.5";"4.9";"1.4"
"Neighborhood (UHF 42)";"304";"Upper West Side";"3";"2006";"422";"0";"16";"0";"6";"1";"5500";"76.6";"2.9";"1.1"
"Neighborhood (UHF 42)";"306";"Chelsea - Clinton";"3";"2012";"37";"0";"4";"1";"1";"1";"2100";"17.4";"1.9";"0.5"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2010";"172";"0";"15";"0";"4";"1";"4900";"34.8";"3";"0.8"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2008";"484";"0";"30";"0";"15";"0";"8300";"58.5";"3.6";"1.8"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2013";"102";"0";"14";"0";"4";"1";"4800";"21.2";"2.9";"0.8"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2013";"37";"0";"3";"1";"1";"1";"1500";"24.6";"2";"0.7"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2012";"82";"0";"11";"1";"5";"1";"4600";"17.9";"2.4";"1.1"
"Neighborhood (UHF 42)";"302";"Central Harlem - Morningside Heights";"3";"2006";"776";"0";"42";"0";"15";"0";"6300";"124";"6.7";"2.4"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2008";"271";"0";"21";"0";"5";"1";"4600";"58.9";"4.6";"1.1"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2014";"167";"0";"35";"0";"11";"1";"7300";"22.8";"4.8";"1.5"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2014";"59";"0";"8";"1";"2";"1";"3900";"15.1";"2";"0.5"
"Neighborhood (UHF 42)";"403";"Flushing - Clearview";"4";"2013";"111";"0";"15";"0";"3";"1";"8700";"12.8";"1.7";"0.3"
"Neighborhood (UHF 42)";"306";"Chelsea - Clinton";"3";"2015";"13";"0";"2";"1";"2";"1";"1900";"6.7";"1";"1"
"Neighborhood (UHF 42)";"504";"South Beach - Tottenville";"5";"2012";"24";"0";"2";"1";"0";"1";"4100";"5.9";"0.5";"0"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2012";"97";"0";"19";"0";"7";"1";"4800";"20.1";"3.9";"1.5"
"Neighborhood (UHF 42)";"310";"Lower Manhattan";"3";"2006";"66";"0";"5";"1";"1";"1";"800";"80.5";"6.1";"1.2"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2005";"209";"0";"13";"0";"3";"1";"1400";"150.5";"9.4";"2.2"
"Neighborhood (UHF 42)";"104";"Pelham - Throgs Neck";"1";"2009";"457";"0";"34";"0";"11";"1";"12200";"37.4";"2.8";"0.9"
"Neighborhood (UHF 42)";"503";"Willowbrook";"5";"2010";"37";"0";"5";"1";"0";"1";"2600";"14.1";"1.9";"0"
"Neighborhood (UHF 42)";"408";"Jamaica";"4";"2005";"1331";"0";"128";"0";"49";"0";"12300";"108.2";"10.4";"4"
"Neighborhood (UHF 42)";"401";"Long Island City - Astoria";"4";"2006";"681";"0";"70";"0";"36";"0";"7000";"97.8";"10.1";"5.2"
"Neighborhood (UHF 42)";"206";"Borough Park";"2";"2011";"1061";"0";"121";"0";"35";"0";"17000";"62.4";"7.1";"2.1"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2013";"60";"0";"10";"1";"7";"1";"3900";"15.2";"2.5";"1.8"
"Neighborhood (UHF 42)";"106";"High Bridge - Morrisania";"1";"2014";"222";"0";"33";"0";"10";"1";"11500";"19.3";"2.9";"0.9"
"Neighborhood (UHF 42)";"210";"Coney Island - Sheepshead Bay";"2";"2007";"863";"0";"71";"0";"28";"0";"9100";"95.3";"7.8";"3.1"
"Neighborhood (UHF 42)";"101";"Kingsbridge - Riverdale";"1";"2011";"61";"0";"7";"1";"2";"1";"3400";"18.1";"2.1";"0.6"
"Neighborhood (UHF 42)";"401";"Long Island City - Astoria";"4";"2015";"115";"0";"16";"0";"6";"1";"6800";"16.9";"2.4";"0.9"
"Neighborhood (UHF 42)";"106";"High Bridge - Morrisania";"1";"2010";"516";"0";"54";"0";"23";"0";"12300";"42";"4.4";"1.9"
"Neighborhood (UHF 42)";"208";"Canarsie - Flatlands";"2";"2015";"84";"0";"13";"0";"2";"1";"7200";"11.7";"1.8";"0.3"
"Neighborhood (UHF 42)";"402";"West Queens";"4";"2006";"2336";"0";"206";"0";"80";"0";"21200";"110.1";"9.7";"3.8"
"Neighborhood (UHF 42)";"301";"Washington Heights";"3";"2014";"144";"0";"22";"0";"6";"1";"9500";"15.1";"2.3";"0.6"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2015";"28";"0";"0";"1";"0";"1";"1500";"19.2";"0";"0"
"Neighborhood (UHF 42)";"404";"Bayside - Little Neck";"4";"2009";"63";"0";"7";"1";"2";"1";"2200";"28.6";"3.2";"0.9"
"Neighborhood (UHF 42)";"302";"Central Harlem - Morningside Heights";"3";"2007";"617";"0";"42";"0";"13";"0";"6200";"98.9";"6.7";"2.1"
"Neighborhood (UHF 42)";"504";"South Beach - Tottenville";"5";"2006";"182";"0";"16";"0";"3";"1";"5200";"35.3";"3.1";"0.6"
"Neighborhood (UHF 42)";"405";"Ridgewood - Forest Hills";"4";"2008";"474";"0";"42";"0";"11";"1";"8800";"53.7";"4.8";"1.2"
"Neighborhood (UHF 42)";"408";"Jamaica";"4";"2006";"1146";"0";"120";"0";"40";"0";"12300";"93";"9.7";"3.2"
